Address A,Port A,Address B,Port B
10.11.1.79,3145,10.12.1.24,502
10.11.1.79,3146,10.12.1.24,502
10.11.1.79,3206,10.12.1.24,502
10.11.1.79,3207,10.12.1.24,502
10.11.1.79,3208,10.12.1.24,502
10.11.1.79,3209,10.12.1.24,502
10.11.1.79,3210,10.12.1.24,502
10.11.1.79,3211,10.12.1.24,502
10.11.1.79,3212,10.12.1.24,502
10.11.1.79,3213,10.12.1.24,502
10.11.1.79,3214,10.12.1.24,502
10.11.1.79,3215,10.12.1.24,502
10.11.1.79,3274,10.12.1.24,502
10.11.1.79,3275,10.12.1.24,502
10.11.1.79,3276,10.12.1.24,502
10.11.1.79,3277,10.12.1.24,502
10.11.1.79,3278,10.12.1.24,502
10.11.1.79,3279,10.12.1.24,502
10.11.1.79,3280,10.12.1.24,502
10.11.1.79,3281,10.12.1.24,502
10.11.1.79,3282,10.12.1.24,502
10.11.1.79,3283,10.12.1.24,502
10.11.1.79,3344,10.12.1.24,502
10.11.1.79,3345,10.12.1.24,502
10.11.1.79,3346,10.12.1.24,502
10.11.1.79,3347,10.12.1.24,502
10.11.1.79,3348,10.12.1.24,502
10.11.1.79,3349,10.12.1.24,502
10.11.1.79,3350,10.12.1.24,502
10.11.1.79,3351,10.12.1.24,502
10.11.1.79,3352,10.12.1.24,502
10.11.1.79,3353,10.12.1.24,502
10.11.1.79,3412,10.12.1.24,502
10.11.1.79,3413,10.12.1.24,502
10.11.1.79,3414,10.12.1.24,502
10.11.1.79,3415,10.12.1.24,502
10.11.1.79,3416,10.12.1.24,502
10.11.1.79,3417,10.12.1.24,502
10.11.1.79,3418,10.12.1.24,502
10.11.1.79,3419,10.12.1.24,502
10.11.1.79,3420,10.12.1.24,502
10.11.1.79,3421,10.12.1.24,502
10.11.1.80,3140,10.12.1.24,502
10.11.1.80,3141,10.12.1.24,502
10.11.1.80,3142,10.12.1.24,502
10.11.1.80,3143,10.12.1.24,502
10.11.1.80,3144,10.12.1.24,502
10.11.1.80,3146,10.12.1.24,502
10.11.1.80,3147,10.12.1.24,502
10.11.1.80,3148,10.12.1.24,502
10.11.1.80,3149,10.12.1.24,502
10.11.1.80,3150,10.12.1.24,502
10.11.1.80,3211,10.12.1.24,502
10.11.1.80,3212,10.12.1.24,502
10.11.1.80,3213,10.12.1.24,502
10.11.1.80,3214,10.12.1.24,502
10.11.1.80,3215,10.12.1.24,502
10.11.1.80,3216,10.12.1.24,502
10.11.1.80,3217,10.12.1.24,502
10.11.1.80,3218,10.12.1.24,502
10.11.1.80,3219,10.12.1.24,502
10.11.1.80,3220,10.12.1.24,502
10.11.1.80,3282,10.12.1.24,502
10.11.1.80,3302,10.12.1.24,502
10.11.1.80,3311,10.12.1.24,502
10.11.1.80,3312,10.12.1.24,502
10.11.1.80,3313,10.12.1.24,502
10.11.1.80,3321,10.12.1.24,502
10.11.1.80,3383,10.12.1.24,502
10.11.1.80,3384,10.12.1.24,502
10.11.1.80,3385,10.12.1.24,502
10.11.1.80,3386,10.12.1.24,502
10.11.1.80,3387,10.12.1.24,502
10.11.1.80,3388,10.12.1.24,502
10.11.1.80,3448,10.12.1.24,502
10.11.1.80,3449,10.12.1.24,502
10.11.1.80,3450,10.12.1.24,502
10.11.1.80,3451,10.12.1.24,502
10.11.1.80,3452,10.12.1.24,502
10.11.1.80,3453,10.12.1.24,502
10.11.1.80,3513,10.12.1.24,502
10.11.1.80,3514,10.12.1.24,502
10.11.1.80,3515,10.12.1.24,502
10.11.1.80,3516,10.12.1.24,502
10.11.1.80,3517,10.12.1.24,502
10.11.1.80,3518,10.12.1.24,502
10.11.1.80,3519,10.12.1.24,502
10.11.1.80,3520,10.12.1.24,502
10.11.1.80,3521,10.12.1.24,502
10.11.1.80,3522,10.12.1.24,502
10.11.1.80,3581,10.12.1.24,502
10.11.1.80,3582,10.12.1.24,502
10.11.1.80,3583,10.12.1.24,502
10.11.1.80,3584,10.12.1.24,502
10.11.1.80,3585,10.12.1.24,502
10.11.1.80,3586,10.12.1.24,502
10.11.1.80,3587,10.12.1.24,502
10.11.1.80,3588,10.12.1.24,502
10.11.1.80,3589,10.12.1.24,502
10.11.1.80,3590,10.12.1.24,502
10.11.1.80,3652,10.12.1.24,502
10.11.1.80,3653,10.12.1.24,502
10.11.1.80,3654,10.12.1.24,502
10.11.1.80,3655,10.12.1.24,502
10.11.1.80,3656,10.12.1.24,502
10.11.1.80,3658,10.12.1.24,502
10.11.1.80,3659,10.12.1.24,502
10.11.1.80,3660,10.12.1.24,502
10.11.1.80,3661,10.12.1.24,502
10.11.1.80,3662,10.12.1.24,502
10.11.1.80,3721,10.12.1.24,502
10.11.1.80,3722,10.12.1.24,502
10.11.1.80,3723,10.12.1.24,502
10.11.1.80,3724,10.12.1.24,502
10.11.1.80,3725,10.12.1.24,502
10.11.1.80,3726,10.12.1.24,502
10.11.1.80,3727,10.12.1.24,502
10.11.1.80,3728,10.12.1.24,502
10.11.1.80,3729,10.12.1.24,502
10.11.1.80,3730,10.12.1.24,502
10.11.1.80,3795,10.12.1.24,502
10.11.1.80,3796,10.12.1.24,502
10.11.1.80,3797,10.12.1.24,502
10.11.1.80,3798,10.12.1.24,502
10.11.1.80,3799,10.12.1.24,502
10.11.1.80,3800,10.12.1.24,502
10.11.1.80,3801,10.12.1.24,502
10.11.1.80,3802,10.12.1.24,502
10.11.1.80,3803,10.12.1.24,502
10.11.1.80,3804,10.12.1.24,502
10.11.2.31,42523,10.12.17.19,502
10.11.2.31,18128,10.12.17.20,502
10.11.2.31,56026,10.12.1.157,502
10.11.2.31,12639,10.12.1.80,502
10.11.2.31,42522,10.12.1.240,502
10.11.2.31,42491,10.12.1.33,502
10.11.2.31,15742,10.12.1.80,502
10.11.2.31,19133,10.12.1.80,502
10.11.3.7,49291,10.12.0.241,445
10.11.9.178,58354,10.12.1.102,502
10.11.9.178,58358,10.12.1.102,502
10.11.9.178,58352,10.12.1.102,502
10.11.9.178,58353,10.12.1.102,502
10.12.0.1,2552,10.11.9.28,502
10.12.0.1,2558,10.11.9.28,502
10.12.0.1,2559,10.11.9.28,502
10.12.0.1,2554,10.11.9.28,502
10.12.0.1,2561,10.11.9.28,502
10.12.0.1,2563,10.11.9.28,502
10.12.0.1,2568,10.11.9.28,502
10.12.0.1,2569,10.11.9.28,502
10.12.0.1,2571,10.11.9.28,502
10.12.0.1,2572,10.11.9.28,502
10.12.0.1,2574,10.11.9.28,502
10.12.0.1,2576,10.11.9.28,502
10.12.0.1,2577,10.11.9.28,502
10.12.0.1,2578,10.11.9.28,502
10.12.0.1,2580,10.11.9.28,502
10.12.0.1,2582,10.11.9.28,502
10.12.0.1,2589,10.11.9.28,502
10.12.0.1,2591,10.11.9.28,502
10.12.0.1,2592,10.11.9.28,502
10.12.0.1,2593,10.11.9.28,502
10.12.0.1,2595,10.11.9.28,502
10.12.0.1,2597,10.11.9.28,502
10.12.0.1,2598,10.11.9.28,502
10.12.0.1,2599,10.11.9.28,502
10.12.0.1,2601,10.11.9.28,502
10.12.0.1,2603,10.11.9.28,502
10.12.0.1,2608,10.11.9.28,502
10.12.0.1,2609,10.11.9.28,502
10.12.0.1,2610,10.11.9.28,502
10.12.0.1,2612,10.11.9.28,502
10.12.0.1,2614,10.11.9.28,502
10.12.0.1,2616,10.11.9.28,502
10.12.0.1,2617,10.11.9.28,502
10.12.0.1,2618,10.11.9.28,502
10.12.0.1,2621,10.11.9.28,502
10.12.0.1,2623,10.11.9.28,502
10.12.0.1,2627,10.11.9.28,502
10.12.0.1,2629,10.11.9.28,502
10.12.0.1,2631,10.11.9.28,502
10.12.0.1,2632,10.11.9.28,502
10.12.0.1,2635,10.11.9.28,502
10.12.0.1,2637,10.11.9.28,502
10.12.0.1,2638,10.11.9.28,502
10.12.0.1,2639,10.11.9.28,502
10.12.0.1,2641,10.11.9.28,502
10.12.0.1,2643,10.11.9.28,502
10.12.0.1,2648,10.11.9.28,502
10.12.0.1,2650,10.11.9.28,502
10.12.0.1,2651,10.11.9.28,502
10.12.0.1,2652,10.11.9.28,502
10.12.0.1,2654,10.11.9.28,502
10.12.0.1,2656,10.11.9.28,502
10.12.0.1,2657,10.11.9.28,502
10.12.0.1,2658,10.11.9.28,502
10.12.0.1,2660,10.11.9.28,502
10.12.0.1,2662,10.11.9.28,502
10.12.0.1,2668,10.11.9.28,502
10.12.0.1,2669,10.11.9.28,502
10.12.0.1,2670,10.11.9.28,502
10.12.0.1,2671,10.11.9.28,502
10.12.0.1,2673,10.11.9.28,502
10.12.0.1,2675,10.11.9.28,502
10.12.0.1,2676,10.11.9.28,502
10.12.0.1,2677,10.11.9.28,502
10.12.0.1,2679,10.11.9.28,502
10.12.0.1,2681,95.101.113.27,80
10.12.0.1,2683,10.11.9.28,502
10.12.0.1,2687,95.101.113.32,80
10.12.0.1,2688,10.11.9.28,502
10.12.0.1,2689,10.11.9.28,502
10.12.0.1,2690,10.11.9.28,502
10.12.0.1,2691,10.11.9.28,502
10.12.0.1,2693,10.11.9.28,502
10.12.0.1,2696,10.11.9.28,502
10.12.0.1,2697,10.11.9.28,502
10.12.0.1,2698,10.11.9.28,502
10.12.0.1,2700,10.11.9.28,502
10.12.0.1,2702,10.11.9.28,502
10.12.0.1,2704,95.101.113.42,80
10.12.0.1,2707,10.11.9.28,502
10.12.0.1,2709,10.11.9.28,502
10.12.0.1,2710,10.11.9.28,502
10.12.0.1,2711,10.11.9.28,502
10.12.0.1,2713,10.11.9.28,502
10.12.0.1,2715,95.101.113.24,80
10.12.0.1,2716,10.11.9.28,502
10.12.0.1,2717,10.11.9.28,502
10.12.0.1,2718,10.11.9.28,502
10.12.0.1,2720,10.11.9.28,502
10.12.0.1,2722,10.11.9.28,502
10.12.0.1,2726,95.101.113.41,80
10.12.0.1,2729,10.11.9.28,502
10.12.0.1,2730,10.11.9.28,502
10.12.0.1,2731,10.11.9.28,502
10.12.0.1,2732,10.11.9.28,502
10.12.0.1,2734,10.11.9.28,502
10.12.0.1,2736,10.11.9.28,502
10.12.0.1,2737,10.11.9.28,502
10.12.0.1,2738,10.11.9.28,502
10.12.0.1,2740,10.11.9.28,502
10.12.0.1,2743,10.11.9.28,502
10.12.0.1,2744,95.101.113.34,80
10.12.0.1,2748,10.11.9.28,502
10.12.0.1,2749,95.101.113.33,80
10.12.0.1,2750,10.11.9.28,502
10.12.0.1,2751,10.11.9.28,502
10.12.0.1,2752,10.11.9.28,502
10.12.0.1,2754,10.11.9.28,502
10.12.0.1,2757,10.11.9.28,502
10.12.0.1,2758,10.11.9.28,502
10.12.0.1,2759,10.11.9.28,502
10.12.0.1,2761,10.11.9.28,502
10.12.0.1,2763,10.11.9.28,502
10.12.0.1,2765,95.101.113.26,80
10.12.0.1,2768,10.11.9.28,502
10.12.0.1,2769,10.11.9.28,502
10.12.0.1,2771,10.11.9.28,502
10.12.0.1,2772,10.11.9.28,502
10.12.0.1,2774,10.11.9.28,502
10.12.0.1,2776,10.11.9.28,502
10.12.0.1,2777,10.11.9.28,502
10.12.0.1,2778,10.11.9.28,502
10.12.0.1,2780,10.11.9.28,502
10.12.0.1,2782,10.11.9.28,502
10.12.0.1,2783,95.101.113.40,80
10.12.0.1,2789,10.11.9.28,502
10.12.0.1,2790,10.11.9.28,502
10.12.0.1,2791,10.11.9.28,502
10.12.0.1,2792,10.11.9.28,502
10.12.0.1,2794,10.11.9.28,502
10.12.0.1,2796,10.11.9.28,502
10.12.0.1,2797,10.11.9.28,502
10.12.0.1,2798,10.11.9.28,502
10.12.0.1,2800,10.11.9.28,502
10.12.0.1,2803,10.11.9.28,502
10.12.0.1,2807,10.11.9.28,502
10.12.0.1,2808,10.11.9.28,502
10.12.0.1,2809,10.11.9.28,502
10.12.0.1,2810,10.11.9.28,502
10.12.0.1,2812,10.11.9.28,502
10.12.0.1,2814,10.11.9.28,502
10.12.0.1,2816,10.11.9.28,502
10.12.0.1,2817,10.11.9.28,502
10.12.0.1,2819,10.11.9.28,502
10.12.0.1,2821,10.11.9.28,502
10.12.0.1,2824,10.11.9.28,502
10.12.0.1,2826,10.11.9.28,502
10.12.0.1,2827,10.11.9.28,502
10.12.0.1,2829,10.11.9.28,502
10.12.0.1,2831,10.11.9.28,502
10.12.0.1,2833,10.11.9.28,502
10.12.0.1,2834,10.11.9.28,502
10.12.0.1,2835,10.11.9.28,502
10.12.0.1,2837,10.11.9.28,502
10.12.0.1,2839,10.11.9.28,502
10.12.0.1,2843,10.11.9.28,502
10.12.0.1,2845,10.11.9.28,502
10.12.0.1,2846,10.11.9.28,502
10.12.0.1,2847,10.11.9.28,502
10.12.0.1,2849,10.11.9.28,502
10.12.0.1,2851,10.11.9.28,502
10.12.0.1,2852,10.11.9.28,502
10.12.0.1,2853,10.11.9.28,502
10.12.0.1,2855,10.11.9.28,502
10.12.0.1,2858,10.11.9.28,502
10.12.0.1,2862,10.11.9.28,502
10.12.0.1,2863,10.11.9.28,502
10.12.0.1,2864,10.11.9.28,502
10.12.0.1,2865,10.11.9.28,502
10.12.0.1,2867,10.11.9.28,502
10.12.0.1,2869,10.11.9.28,502
10.12.0.1,2870,10.11.9.28,502
10.12.0.1,2871,10.11.9.28,502
10.12.0.1,2873,10.11.9.28,502
10.12.0.1,2876,10.11.9.28,502
10.12.0.1,2880,10.11.9.28,502
10.12.0.1,2881,10.11.9.28,502
10.12.0.1,2882,10.11.9.28,502
10.12.0.1,2883,10.11.9.28,502
10.12.0.1,2885,10.11.9.28,502
10.12.0.1,2888,10.11.9.28,502
10.12.0.1,2889,10.11.9.28,502
10.12.0.1,2890,10.11.9.28,502
10.12.0.1,2892,10.11.9.28,502
10.12.0.1,2894,10.11.9.28,502
10.12.0.1,2899,10.11.9.28,502
10.12.0.1,2901,10.11.9.28,502
10.12.0.1,2902,10.11.9.28,502
10.12.0.1,2903,10.11.9.28,502
10.12.0.1,2905,10.11.9.28,502
10.12.0.1,2907,10.11.9.28,502
10.12.0.1,2908,10.11.9.28,502
10.12.0.1,2909,10.11.9.28,502
10.12.0.1,2911,10.11.9.28,502
10.12.0.1,2913,10.11.9.28,502
10.12.0.1,2917,10.11.9.28,502
10.12.0.1,2918,10.11.9.28,502
10.12.0.1,2919,10.11.9.28,502
10.12.0.1,2920,10.11.9.28,502
10.12.0.1,2922,10.11.9.28,502
10.12.0.1,2925,10.11.9.28,502
10.12.0.1,2926,10.11.9.28,502
10.12.0.1,2927,10.11.9.28,502
10.12.0.1,2929,10.11.9.28,502
10.12.0.1,2932,10.11.9.28,502
10.12.0.1,2935,10.11.9.28,502
10.12.0.1,2936,10.11.9.28,502
10.12.0.1,2937,10.11.9.28,502
10.12.0.1,2938,10.11.9.28,502
10.12.0.1,2940,10.11.9.28,502
10.12.0.1,2943,10.11.9.28,502
10.12.0.1,2944,10.11.9.28,502
10.12.0.1,2945,10.11.9.28,502
10.12.0.1,2947,10.11.9.28,502
10.12.0.1,2949,10.11.9.28,502
10.12.0.1,2954,10.11.9.28,502
10.12.0.1,2956,10.11.9.28,502
10.12.0.1,2957,10.11.9.28,502
10.12.0.1,2958,10.11.9.28,502
10.12.0.1,2960,10.11.9.28,502
10.12.0.1,2962,10.11.9.28,502
10.12.0.1,2963,10.11.9.28,502
10.12.0.1,2964,10.11.9.28,502
10.12.0.1,2966,10.11.9.28,502
10.12.0.1,2968,10.11.9.28,502
10.12.0.1,2972,10.11.9.28,502
10.12.0.1,2973,10.11.9.28,502
10.12.0.1,2974,10.11.9.28,502
10.12.0.1,2975,10.11.9.28,502
10.12.0.1,2977,10.11.9.28,502
10.12.0.1,2979,10.11.9.28,502
10.12.0.1,2981,10.11.9.28,502
10.12.0.1,2982,10.11.9.28,502
10.12.0.1,2984,10.11.9.28,502
10.12.0.1,2987,10.11.9.28,502
10.12.0.1,2990,10.11.9.28,502
10.12.0.1,2991,10.11.9.28,502
10.12.0.1,2992,10.11.9.28,502
10.12.0.1,2993,10.11.9.28,502
10.12.0.1,2995,10.11.9.28,502
10.12.0.1,2998,10.11.9.28,502
10.12.0.1,3000,10.11.9.28,502
10.12.0.1,3001,10.11.9.28,502
10.12.0.1,3003,10.11.9.28,502
10.12.0.1,3005,10.11.9.28,502
10.12.0.1,3008,10.11.9.28,502
10.12.0.1,3010,10.11.9.28,502
10.12.0.1,3011,10.11.9.28,502
10.12.0.1,3013,10.11.9.28,502
10.12.0.1,3015,10.11.9.28,502
10.12.0.1,3017,10.11.9.28,502
10.12.0.1,3018,10.11.9.28,502
10.12.0.1,3019,10.11.9.28,502
10.12.0.1,3021,10.11.9.28,502
10.12.0.1,3023,10.11.9.28,502
10.12.0.1,3027,10.11.9.28,502
10.12.0.1,3029,10.11.9.28,502
10.12.0.1,3030,10.11.9.28,502
10.12.0.1,3031,10.11.9.28,502
10.12.0.1,3033,10.11.9.28,502
10.12.0.1,3035,10.11.9.28,502
10.12.0.1,3036,10.11.9.28,502
10.12.0.1,3037,10.11.9.28,502
10.12.0.1,3039,10.11.9.28,502
10.12.0.1,3042,10.11.9.28,502
10.12.0.1,3047,10.11.9.28,502
10.12.0.1,3048,10.11.9.28,502
10.12.0.1,3049,10.11.9.28,502
10.12.0.1,3050,10.11.9.28,502
10.12.0.1,3052,10.11.9.28,502
10.12.0.1,3055,10.11.9.28,502
10.12.0.1,3056,10.11.9.28,502
10.12.0.1,3057,10.11.9.28,502
10.12.0.1,3059,10.11.9.28,502
10.12.0.1,3062,10.11.9.28,502
10.12.0.1,3065,10.11.9.28,502
10.12.0.1,3067,10.11.9.28,502
10.12.0.1,3068,10.11.9.28,502
10.12.0.1,3069,10.11.9.28,502
10.12.0.1,3071,10.11.9.28,502
10.12.0.1,3074,10.11.9.28,502
10.12.0.1,3075,10.11.9.28,502
10.12.0.1,3076,10.11.9.28,502
10.12.0.1,3078,10.11.9.28,502
10.12.0.1,3080,10.11.9.28,502
10.12.0.2,2489,10.11.9.28,502
10.12.0.2,2486,10.11.9.28,502
10.12.0.2,2490,10.11.9.28,502
10.12.0.2,2491,10.11.9.28,502
10.12.0.2,2487,10.11.9.28,502
10.12.0.2,2492,10.11.9.28,502
10.12.0.2,2488,10.11.9.28,502
10.12.0.2,2493,10.11.9.28,502
10.12.0.2,2494,10.11.9.28,502
10.12.0.2,2495,10.11.9.28,502
10.12.0.2,2503,10.11.9.28,502
10.12.0.2,2504,10.11.9.28,502
10.12.0.2,2505,10.11.9.28,502
10.12.0.2,2506,10.11.9.28,502
10.12.0.2,2507,10.11.9.28,502
10.12.0.2,2508,10.11.9.28,502
10.12.0.2,2509,10.11.9.28,502
10.12.0.2,2510,10.11.9.28,502
10.12.0.2,2511,10.11.9.28,502
10.12.0.2,2512,10.11.9.28,502
10.12.0.2,2518,10.11.9.28,502
10.12.0.2,2519,10.11.9.28,502
10.12.0.2,2520,10.11.9.28,502
10.12.0.2,2521,10.11.9.28,502
10.12.0.2,2522,10.11.9.28,502
10.12.0.2,2523,10.11.9.28,502
10.12.0.2,2525,10.11.9.28,502
10.12.0.2,2526,10.11.9.28,502
10.12.0.2,2527,10.11.9.28,502
10.12.0.2,2528,10.11.9.28,502
10.12.0.2,2533,10.11.9.28,502
10.12.0.2,2535,10.11.9.28,502
10.12.0.2,2536,10.11.9.28,502
10.12.0.2,2537,10.11.9.28,502
10.12.0.2,2538,10.11.9.28,502
10.12.0.2,2539,10.11.9.28,502
10.12.0.2,2540,10.11.9.28,502
10.12.0.2,2541,10.11.9.28,502
10.12.0.2,2542,10.11.9.28,502
10.12.0.2,2543,10.11.9.28,502
10.12.0.2,2550,10.11.9.28,502
10.12.0.2,2551,10.11.9.28,502
10.12.0.2,2552,10.11.9.28,502
10.12.0.2,2553,10.11.9.28,502
10.12.0.2,2554,10.11.9.28,502
10.12.0.2,2555,10.11.9.28,502
10.12.0.2,2556,10.11.9.28,502
10.12.0.2,2557,10.11.9.28,502
10.12.0.2,2558,10.11.9.28,502
10.12.0.2,2559,10.11.9.28,502
10.12.0.2,2565,10.11.9.28,502
10.12.0.2,2566,10.11.9.28,502
10.12.0.2,2567,10.11.9.28,502
10.12.0.2,2568,10.11.9.28,502
10.12.0.2,2569,10.11.9.28,502
10.12.0.2,2570,10.11.9.28,502
10.12.0.2,2571,10.11.9.28,502
10.12.0.2,2572,10.11.9.28,502
10.12.0.2,2573,10.11.9.28,502
10.12.0.2,2574,10.11.9.28,502
10.12.0.2,2580,10.11.9.28,502
10.12.0.2,2581,10.11.9.28,502
10.12.0.2,2582,10.11.9.28,502
10.12.0.2,2583,10.11.9.28,502
10.12.0.2,2584,10.11.9.28,502
10.12.0.2,2585,10.11.9.28,502
10.12.0.2,2586,10.11.9.28,502
10.12.0.2,2587,10.11.9.28,502
10.12.0.2,2588,10.11.9.28,502
10.12.0.2,2589,10.11.9.28,502
10.12.0.2,2595,10.11.9.28,502
10.12.0.2,2596,10.11.9.28,502
10.12.0.2,2597,10.11.9.28,502
10.12.0.2,2598,10.11.9.28,502
10.12.0.2,2599,10.11.9.28,502
10.12.0.2,2600,10.11.9.28,502
10.12.0.2,2601,10.11.9.28,502
10.12.0.2,2602,10.11.9.28,502
10.12.0.2,2603,10.11.9.28,502
10.12.0.2,2604,10.11.9.28,502
10.12.0.2,2610,10.11.9.28,502
10.12.0.2,2611,10.11.9.28,502
10.12.0.2,2612,10.11.9.28,502
10.12.0.2,2613,10.11.9.28,502
10.12.0.2,2614,10.11.9.28,502
10.12.0.2,2615,10.11.9.28,502
10.12.0.2,2616,10.11.9.28,502
10.12.0.2,2617,10.11.9.28,502
10.12.0.2,2618,10.11.9.28,502
10.12.0.2,2619,10.11.9.28,502
10.12.0.2,2625,10.11.9.28,502
10.12.0.2,2626,10.11.9.28,502
10.12.0.2,2627,10.11.9.28,502
10.12.0.2,2628,10.11.9.28,502
10.12.0.2,2629,10.11.9.28,502
10.12.0.2,2630,10.11.9.28,502
10.12.0.2,2631,10.11.9.28,502
10.12.0.2,2632,10.11.9.28,502
10.12.0.2,2633,10.11.9.28,502
10.12.0.2,2634,10.11.9.28,502
10.12.0.2,2640,10.11.9.28,502
10.12.0.2,2641,10.11.9.28,502
10.12.0.2,2642,10.11.9.28,502
10.12.0.2,2643,10.11.9.28,502
10.12.0.2,2644,10.11.9.28,502
10.12.0.2,2645,10.11.9.28,502
10.12.0.2,2646,10.11.9.28,502
10.12.0.2,2647,10.11.9.28,502
10.12.0.2,2648,10.11.9.28,502
10.12.0.2,2649,10.11.9.28,502
10.12.0.2,2655,10.11.9.28,502
10.12.0.2,2656,10.11.9.28,502
10.12.0.2,2657,10.11.9.28,502
10.12.0.2,2658,10.11.9.28,502
10.12.0.2,2659,10.11.9.28,502
10.12.0.2,2660,10.11.9.28,502
10.12.0.2,2661,10.11.9.28,502
10.12.0.2,2662,10.11.9.28,502
10.12.0.2,2663,10.11.9.28,502
10.12.0.2,2664,10.11.9.28,502
10.12.0.2,2670,10.11.9.28,502
10.12.0.2,2671,10.11.9.28,502
10.12.0.2,2672,10.11.9.28,502
10.12.0.2,2673,10.11.9.28,502
10.12.0.2,2674,10.11.9.28,502
10.12.0.2,2675,10.11.9.28,502
10.12.0.2,2677,10.11.9.28,502
10.12.0.2,2678,10.11.9.28,502
10.12.0.2,2679,10.11.9.28,502
10.12.0.2,2680,10.11.9.28,502
10.12.0.2,2685,10.11.9.28,502
10.12.0.2,2687,10.11.9.28,502
10.12.0.2,2688,10.11.9.28,502
10.12.0.2,2689,10.11.9.28,502
10.12.0.2,2690,10.11.9.28,502
10.12.0.2,2691,10.11.9.28,502
10.12.0.2,2692,10.11.9.28,502
10.12.0.2,2693,10.11.9.28,502
10.12.0.2,2694,10.11.9.28,502
10.12.0.2,2695,10.11.9.28,502
10.12.0.2,2701,10.11.9.28,502
10.12.0.2,2702,10.11.9.28,502
10.12.0.2,2703,10.11.9.28,502
10.12.0.2,2704,10.11.9.28,502
10.12.0.2,2705,10.11.9.28,502
10.12.0.2,2706,10.11.9.28,502
10.12.0.2,2707,10.11.9.28,502
10.12.0.2,2708,10.11.9.28,502
10.12.0.2,2709,10.11.9.28,502
10.12.0.2,2710,10.11.9.28,502
10.12.0.2,2716,10.11.9.28,502
10.12.0.2,2717,10.11.9.28,502
10.12.0.2,2718,10.11.9.28,502
10.12.0.2,2719,10.11.9.28,502
10.12.0.2,2720,10.11.9.28,502
10.12.0.2,2721,10.11.9.28,502
10.12.0.2,2722,10.11.9.28,502
10.12.0.2,2723,10.11.9.28,502
10.12.0.2,2724,10.11.9.28,502
10.12.0.2,2725,10.11.9.28,502
10.12.0.2,2731,10.11.9.28,502
10.12.0.2,2732,10.11.9.28,502
10.12.0.2,2733,10.11.9.28,502
10.12.0.2,2734,10.11.9.28,502
10.12.0.2,2735,10.11.9.28,502
10.12.0.2,2736,10.11.9.28,502
10.12.0.2,2737,10.11.9.28,502
10.12.0.2,2738,10.11.9.28,502
10.12.0.2,2739,10.11.9.28,502
10.12.0.2,2740,10.11.9.28,502
10.12.0.2,2746,10.11.9.28,502
10.12.0.2,2747,10.11.9.28,502
10.12.0.2,2748,10.11.9.28,502
10.12.0.2,2749,10.11.9.28,502
10.12.0.2,2750,10.11.9.28,502
10.12.0.2,2751,10.11.9.28,502
10.12.0.2,2752,10.11.9.28,502
10.12.0.2,2753,10.11.9.28,502
10.12.0.2,2754,10.11.9.28,502
10.12.0.2,2755,10.11.9.28,502
10.12.0.2,2761,10.11.9.28,502
10.12.0.2,2762,10.11.9.28,502
10.12.0.2,2763,10.11.9.28,502
10.12.0.2,2764,10.11.9.28,502
10.12.0.2,2765,10.11.9.28,502
10.12.0.2,2766,10.11.9.28,502
