Address A,Port A,Address B,Port B,Packets,Bytes,Packets A -> B,Bytes A -> B,Packets B -> A,Bytes B -> A,Rel Start,Duration,Bits/s A -> B,Bits/s B -> A
10.11.1.79,3280,10.12.1.24,502,10,613,5,308,5,305,692.31897,0.019081,129133.6932,127875.8975
10.11.1.79,3281,10.12.1.24,502,10,614,5,308,5,306,692.351813,0.019924,123669.9458,122866.8942
10.11.1.79,3282,10.12.1.24,502,10,613,5,308,5,305,692.369751,0.020273,121540.9658,120357.1252
10.11.1.79,3283,10.12.1.24,502,10,614,5,308,5,306,692.412913,0.021667,113721.3274,112982.8772
10.11.1.79,3344,10.12.1.24,502,10,614,5,308,5,306,777.300305,0.020729,118867.2874,118095.4219
10.11.1.79,3345,10.12.1.24,502,10,613,5,308,5,305,777.31823,0.017031,144677.3531,143268.1581
10.11.1.79,3346,10.12.1.24,502,10,614,5,308,5,306,777.353011,0.024921,98872.4369,98230.40809
10.11.1.79,3347,10.12.1.24,502,10,613,5,308,5,305,777.374232,0.019471,126547.1727,125314.5704
10.11.1.79,3348,10.12.1.24,502,10,614,5,308,5,306,777.414253,0.023454,105056.7067,104374.5203
10.11.1.79,3349,10.12.1.24,502,10,614,5,308,5,306,782.30058,0.026533,92865.48826,92262.46561
10.11.1.79,3350,10.12.1.24,502,10,613,5,308,5,305,782.325236,0.016474,149569.0178,148112.1768
10.11.1.79,3351,10.12.1.24,502,10,614,5,308,5,306,782.353283,0.025401,97004.05496,96374.1585
10.11.1.79,3352,10.12.1.24,502,10,613,5,308,5,305,782.376159,0.021526,114466.2269,113351.2961
10.11.1.79,3353,10.12.1.24,502,10,614,5,308,5,306,782.414288,0.020408,120736.9659,119952.9596
10.11.1.79,3412,10.12.1.24,502,10,614,5,308,5,306,867.317327,0.029704,82951.791,82413.14301
10.11.1.79,3413,10.12.1.24,502,10,613,5,308,5,305,867.340665,0.026422,93255.62032,92347.28635
10.11.1.79,3414,10.12.1.24,502,10,614,5,308,5,306,867.370233,0.027871,88407.30508,87833.23167
10.11.1.79,3415,10.12.1.24,502,10,613,5,308,5,305,867.391615,0.02212,111392.4051,110307.4141
10.11.1.79,3416,10.12.1.24,502,10,614,5,308,5,306,867.43116,0.023877,103195.5438,102525.4429
10.11.1.79,3417,10.12.1.24,502,10,614,5,308,5,306,872.317296,0.023575,104517.4973,103838.8123
10.11.1.79,3418,10.12.1.24,502,10,613,5,308,5,305,872.335438,0.025718,95808.38323,94875.1847
10.11.1.79,3419,10.12.1.24,502,10,614,5,308,5,306,872.370377,0.023418,105218.2082,104534.9731
10.11.1.79,3420,10.12.1.24,502,10,613,5,308,5,305,872.39147,0.01855,132830.1887,131536.3881
10.11.1.79,3421,10.12.1.24,502,10,614,5,308,5,306,872.431216,0.023356,105497.5167,104812.4679
10.11.1.80,3140,10.12.1.24,502,10,614,5,308,5,306,48.219576,0.034266,71908.01377,71441.07862
10.11.1.80,3141,10.12.1.24,502,10,613,5,308,5,305,48.245658,0.040007,61589.22189,60989.32687
10.11.1.80,3142,10.12.1.24,502,10,614,5,308,5,306,48.302933,0.038879,63376.11564,62964.58242
10.11.1.80,3143,10.12.1.24,502,10,613,5,308,5,305,48.328419,0.04498,54779.90218,54246.3317
10.11.1.80,3144,10.12.1.24,502,10,614,5,308,5,306,48.395479,0.03867,63718.64494,63304.88751
10.11.1.80,3146,10.12.1.24,502,10,614,5,308,5,306,53.235426,0.057022,43211.39209,42930.79864
10.11.1.80,3147,10.12.1.24,502,9,553,5,308,4,245,53.284296,0.04219,58402.46504,46456.50628
10.11.1.80,3148,10.12.1.24,502,10,614,5,308,5,306,53.334605,0.030251,81451.85283,80922.9447
10.11.1.80,3149,10.12.1.24,502,10,613,5,308,5,305,53.357256,0.037771,65235.23338,64599.82526
10.11.1.80,3150,10.12.1.24,502,10,614,5,308,5,306,53.395616,0.036624,67278.28746,66841.41547
10.11.1.80,3211,10.12.1.24,502,10,614,5,308,5,306,138.223626,0.0377,65358.09019,64933.687
10.11.1.80,3212,10.12.1.24,502,10,613,5,308,5,305,138.246775,0.043194,57044.95995,56489.32722
10.11.1.80,3213,10.12.1.24,502,10,614,5,308,5,306,138.307245,0.042013,58648.51356,58267.67905
10.11.1.80,3214,10.12.1.24,502,10,613,5,308,5,305,138.332578,0.05725,43039.30131,42620.08734
10.11.1.80,3215,10.12.1.24,502,10,614,5,308,5,306,138.399398,0.053055,46442.37112,46140.79729
10.11.1.80,3216,10.12.1.24,502,10,614,5,308,5,306,143.223775,0.090215,27312.53118,27135.17708
10.11.1.80,3217,10.12.1.24,502,10,613,5,308,5,305,143.27602,0.087348,28209.00307,27934.24005
10.11.1.80,3218,10.12.1.24,502,10,614,5,308,5,306,143.37004,0.080219,30715.91518,30516.46119
10.11.1.80,3219,10.12.1.24,502,10,613,5,308,5,305,143.414926,0.134978,18254.82671,18077.01996
10.11.1.80,3220,10.12.1.24,502,10,614,5,308,5,306,143.524822,0.158764,15519.89116,15419.11265
10.11.1.80,3282,10.12.1.24,502,1,62,1,62,0,0,228.227615,0,0,0
10.11.1.80,3302,10.12.1.24,502,1,62,1,62,0,0,230.228828,0,0,0
10.11.1.80,3311,10.12.1.24,502,1,62,1,62,0,0,232.228163,0,0,0
10.11.1.80,3312,10.12.1.24,502,1,62,1,62,0,0,234.232954,0,0,0
10.11.1.80,3313,10.12.1.24,502,1,62,1,62,0,0,236.260232,0,0,0
10.11.1.80,3321,10.12.1.24,502,1,62,1,62,0,0,238.400997,0,0,0
10.11.1.80,3383,10.12.1.24,502,1,62,1,62,0,0,319.247265,0,0,0
10.11.1.80,3384,10.12.1.24,502,1,62,1,62,0,0,321.263397,0,0,0
10.11.1.80,3385,10.12.1.24,502,1,62,1,62,0,0,323.263672,0,0,0
10.11.1.80,3386,10.12.1.24,502,1,62,1,62,0,0,325.268323,0,0,0
10.11.1.80,3387,10.12.1.24,502,1,62,1,62,0,0,327.295605,0,0,0
10.11.1.80,3388,10.12.1.24,502,1,62,1,62,0,0,329.326809,0,0,0
10.11.1.80,3448,10.12.1.24,502,1,62,1,62,0,0,410.282442,0,0,0
10.11.1.80,3449,10.12.1.24,502,1,62,1,62,0,0,412.298789,0,0,0
10.11.1.80,3450,10.12.1.24,502,1,62,1,62,0,0,414.298922,0,0,0
10.11.1.80,3451,10.12.1.24,502,1,62,1,62,0,0,416.303577,0,0,0
10.11.1.80,3452,10.12.1.24,502,1,62,1,62,0,0,418.330746,0,0,0
10.11.1.80,3453,10.12.1.24,502,1,62,1,62,0,0,420.362178,0,0,0
10.11.1.80,3513,10.12.1.24,502,10,614,5,308,5,306,501.317689,0.023474,104967.1978,104285.5926
10.11.1.80,3514,10.12.1.24,502,10,613,5,308,5,305,501.337972,0.020602,119600.0388,118435.1034
10.11.1.80,3515,10.12.1.24,502,10,614,5,308,5,306,501.370311,0.031724,77669.90291,77165.55289
10.11.1.80,3516,10.12.1.24,502,10,613,5,308,5,305,501.395304,0.025068,98292.64401,97335.24813
10.11.1.80,3517,10.12.1.24,502,10,614,5,308,5,306,501.431144,0.026034,94645.46362,94030.88269
10.11.1.80,3518,10.12.1.24,502,10,614,5,308,5,306,506.318007,0.062733,39277.57321,39022.52403
10.11.1.80,3519,10.12.1.24,502,10,613,5,308,5,305,506.363939,0.297722,8276.177105,8195.56499
10.11.1.80,3520,10.12.1.24,502,10,614,5,308,5,306,506.620327,0.218239,11290.37431,11217.0602
10.11.1.80,3521,10.12.1.24,502,10,613,5,308,5,305,506.76323,0.654207,3766.391983,3729.706347
10.11.1.80,3522,10.12.1.24,502,10,614,5,308,5,306,507.400038,0.189115,13029.10927,12944.50467
10.11.1.80,3581,10.12.1.24,502,10,614,5,308,5,306,591.321704,0.029215,84340.23618,83792.57231
10.11.1.80,3582,10.12.1.24,502,10,613,5,308,5,305,591.348133,0.023553,104615.1233,103596.1449
10.11.1.80,3583,10.12.1.24,502,10,614,5,308,5,306,591.405574,0.023403,105285.6471,104601.9741
10.11.1.80,3584,10.12.1.24,502,10,613,5,308,5,305,591.423286,0.023971,102790.8723,101789.6625
10.11.1.80,3585,10.12.1.24,502,10,614,5,308,5,306,591.466349,0.027042,91117.52089,90525.84868
10.11.1.80,3586,10.12.1.24,502,10,614,5,308,5,306,596.321895,0.029089,84705.5588,84155.52271
10.11.1.80,3587,10.12.1.24,502,10,613,5,308,5,305,596.344195,0.025325,97295.16288,96347.48272
10.11.1.80,3588,10.12.1.24,502,10,614,5,308,5,306,596.374245,0.033431,73704.04714,73225.44943
10.11.1.80,3589,10.12.1.24,502,10,613,5,308,5,305,596.403432,0.025806,95481.67093,94551.65465
10.11.1.80,3590,10.12.1.24,502,10,614,5,308,5,306,596.435323,0.032229,76452.88405,75956.43675
10.11.1.80,3652,10.12.1.24,502,10,614,5,308,5,306,681.325645,0.021202,116215.4514,115460.8056
10.11.1.80,3653,10.12.1.24,502,10,613,5,308,5,305,681.343997,0.015943,154550.5865,153045.2236
10.11.1.80,3654,10.12.1.24,502,10,614,5,308,5,306,681.378157,0.022995,107153.7291,106457.9256
10.11.1.80,3655,10.12.1.24,502,10,613,5,308,5,305,681.39876,0.017325,142222.2222,140836.9408
10.11.1.80,3656,10.12.1.24,502,10,614,5,308,5,306,681.439007,0.025149,97976.06267,97339.85447
10.11.1.80,3658,10.12.1.24,502,10,614,5,308,5,306,686.325905,0.023187,106266.4424,105576.4006
10.11.1.80,3659,10.12.1.24,502,10,613,5,308,5,305,686.346343,0.017432,141349.2428,139972.4644
10.11.1.80,3660,10.12.1.24,502,10,614,5,308,5,306,686.378269,0.021998,112010.1827,111282.8439
10.11.1.80,3661,10.12.1.24,502,10,613,5,308,5,305,686.397613,0.025659,96028.68389,95093.33957
10.11.1.80,3662,10.12.1.24,502,10,614,5,308,5,306,686.439264,0.023923,102997.1157,102328.3033
10.11.1.80,3721,10.12.1.24,502,10,614,5,308,5,306,771.329567,0.026294,93709.59154,93101.0877
10.11.1.80,3722,10.12.1.24,502,10,613,5,308,5,305,771.352365,0.016206,152042.4534,150561.5204
10.11.1.80,3723,10.12.1.24,502,10,614,5,308,5,306,771.382081,0.023012,107074.5698,106379.2804
10.11.1.80,3724,10.12.1.24,502,10,613,5,308,5,305,771.401895,0.018759,131350.2852,130070.8993
10.11.1.80,3725,10.12.1.24,502,10,614,5,308,5,306,771.443041,0.027626,89191.34149,88612.17693
10.11.1.80,3726,10.12.1.24,502,10,614,5,308,5,306,776.329863,0.02314,106482.2818,105790.8384
10.11.1.80,3727,10.12.1.24,502,10,613,5,308,5,305,776.35084,0.018975,129855.0725,128590.2503
10.11.1.80,3728,10.12.1.24,502,10,614,5,308,5,306,776.382173,0.026682,92346.90053,91747.24533
10.11.1.80,3729,10.12.1.24,502,10,613,5,308,5,305,776.406652,0.020369,120968.1379,119789.8768
10.11.1.80,3730,10.12.1.24,502,10,614,5,308,5,306,776.443169,0.023601,104402.3558,103724.4185
10.11.1.80,3795,10.12.1.24,502,10,614,5,308,5,306,861.333619,0.026722,92208.66702,91609.90944
10.11.1.80,3796,10.12.1.24,502,10,613,5,308,5,305,861.353577,0.027547,89447.12673,88575.88848
10.11.1.80,3797,10.12.1.24,502,10,614,5,308,5,306,861.38591,0.025742,95719.05835,95097.50602
10.11.1.80,3798,10.12.1.24,502,10,613,5,308,5,305,861.408349,0.022433,109838.1848,108768.3324
10.11.1.80,3799,10.12.1.24,502,10,614,5,308,5,306,861.447063,0.023159,106394.9221,105704.0459
10.11.1.80,3800,10.12.1.24,502,10,614,5,308,5,306,866.33395,0.034277,71884.93742,71418.15211
10.11.1.80,3801,10.12.1.24,502,10,613,5,308,5,305,866.359586,0.027867,88419.99498,87558.76126
10.11.1.80,3802,10.12.1.24,502,10,614,5,308,5,306,866.418163,0.0284,86760.56338,86197.1831
10.11.1.80,3803,10.12.1.24,502,10,613,5,308,5,305,866.442588,0.017889,137738.2749,136396.6683
10.11.1.80,3804,10.12.1.24,502,10,614,5,308,5,306,866.478477,0.027479,89668.47411,89086.21129
10.11.2.31,42523,10.12.17.19,502,2133,176642,1012,66300,1121,110342,0,894.581694,592.9028098,986.7583988
10.11.2.31,18128,10.12.17.20,502,3321,244695,1624,112314,1697,132381,0.004275,902.789157,995.2622858,1173.084537
10.11.2.31,56026,10.12.1.157,502,4604,397116,2014,128652,2590,268464,0.306285,901.123773,1142.147206,2383.370703
10.11.2.31,12639,10.12.1.80,502,64,7534,28,3545,36,3989,3.863279,199.77798,141.9575871,159.7373244
10.11.2.31,42522,10.12.1.240,502,302,22912,136,10567,166,12345,20.845488,881.473827,95.90301766,112.0396284
10.11.2.31,42491,10.12.1.33,502,909,66458,505,32724,404,33734,26.172824,875.631581,298.9750549,308.20268
10.11.2.31,15742,10.12.1.80,502,172,19734,76,9287,96,10447,220.859842,588.640684,126.2162165,141.9813517
10.11.2.31,19133,10.12.1.80,502,24,2732,12,1368,12,1364,840.434258,61.354556,178.3730617,177.851503
10.11.3.7,49291,10.12.0.241,445,54564,6465450,54564,6465450,0,0,0.498304,902.347887,57321.12941,0
10.11.9.178,58354,10.12.1.102,502,901,"147,885",451,74310,450,73575,0.093993,900.109481,660.4529922,653.9204535
10.11.9.178,58358,10.12.1.102,502,904,"148,482",452,74580,452,73902,0.886608,900.314912,662.7014526,656.676894
10.11.9.178,58352,10.12.1.102,502,904,"148,482",452,74580,452,73902,1.88571,900.329858,662.6904514,656.6659927
10.11.9.178,58353,10.12.1.102,502,900,"147,825",450,74250,450,73575,2.884673,896.325754,662.7054922,656.6808968
10.12.0.1,2552,10.11.9.28,502,1,62,1,62,0,0,0.57637,0,0,0
10.12.0.1,2558,10.11.9.28,502,1,62,1,62,0,0,0.693893,0,0,0
10.12.0.1,2559,10.11.9.28,502,2,124,2,124,0,0,0.760619,2.934587,338.0373456,0
10.12.0.1,2554,10.11.9.28,502,1,62,1,62,0,0,1.179927,0,0,0
10.12.0.1,2561,10.11.9.28,502,1,62,1,62,0,0,1.3194,0,0,0
10.12.0.1,2563,10.11.9.28,502,1,62,1,62,0,0,3.772481,0,0,0
10.12.0.1,2568,10.11.9.28,502,2,124,2,124,0,0,27.268816,2.984128,332.4254187,0
10.12.0.1,2569,10.11.9.28,502,2,124,2,124,0,0,29.738059,2.929247,338.6535857,0
10.12.0.1,2571,10.11.9.28,502,1,62,1,62,0,0,30.275922,0,0,0
10.12.0.1,2572,10.11.9.28,502,2,124,2,124,0,0,30.705946,2.967322,334.3081742,0
10.12.0.1,2574,10.11.9.28,502,2,124,2,124,0,0,31.323655,2.953283,335.8973725,0
10.12.0.1,2576,10.11.9.28,502,1,62,1,62,0,0,32.744913,0,0,0
10.12.0.1,2577,10.11.9.28,502,1,62,1,62,0,0,33.713766,0,0,0
10.12.0.1,2578,10.11.9.28,502,2,124,2,124,0,0,33.778479,3.013397,329.1965845,0
10.12.0.1,2580,10.11.9.28,502,1,62,1,62,0,0,34.3391,0,0,0
10.12.0.1,2582,10.11.9.28,502,1,62,1,62,0,0,36.792342,0,0,0
10.12.0.1,2589,10.11.9.28,502,2,124,2,124,0,0,60.286696,2.962607,334.8402269,0
10.12.0.1,2591,10.11.9.28,502,2,124,2,124,0,0,62.757629,3.006739,329.9255439,0
10.12.0.1,2592,10.11.9.28,502,1,62,1,62,0,0,63.295703,0,0,0
10.12.0.1,2593,10.11.9.28,502,2,124,2,124,0,0,63.72656,2.943194,337.048798,0
10.12.0.1,2595,10.11.9.28,502,2,124,2,124,0,0,64.35115,2.92228,339.4609688,0
10.12.0.1,2597,10.11.9.28,502,1,62,1,62,0,0,65.764852,0,0,0
10.12.0.1,2598,10.11.9.28,502,1,62,1,62,0,0,66.73369,0,0,0
10.12.0.1,2599,10.11.9.28,502,2,124,2,124,0,0,66.800415,2.887367,343.5656084,0
10.12.0.1,2601,10.11.9.28,502,1,62,1,62,0,0,67.359159,0,0,0
10.12.0.1,2603,10.11.9.28,502,1,62,1,62,0,0,69.812131,0,0,0
10.12.0.1,2608,10.11.9.28,502,1,62,1,62,0,0,93.30262,0,0,0
10.12.0.1,2609,10.11.9.28,502,2,124,2,124,0,0,95.778616,2.982222,332.6378787,0
10.12.0.1,2610,10.11.9.28,502,1,62,1,62,0,0,96.31559,0,0,0
10.12.0.1,2612,10.11.9.28,502,1,62,1,62,0,0,96.749155,0,0,0
10.12.0.1,2614,10.11.9.28,502,2,124,2,124,0,0,97.364459,3.005893,330.0184005,0
10.12.0.1,2616,10.11.9.28,502,1,62,1,62,0,0,98.784637,0,0,0
10.12.0.1,2617,10.11.9.28,502,1,62,1,62,0,0,99.753534,0,0,0
10.12.0.1,2618,10.11.9.28,502,2,124,2,124,0,0,99.819289,2.864822,346.2693319,0
10.12.0.1,2621,10.11.9.28,502,1,62,1,62,0,0,100.378921,0,0,0
10.12.0.1,2623,10.11.9.28,502,1,62,1,62,0,0,102.832124,0,0,0
10.12.0.1,2627,10.11.9.28,502,2,124,2,124,0,0,126.319657,2.922542,339.4305368,0
10.12.0.1,2629,10.11.9.28,502,2,124,2,124,0,0,128.790666,2.966504,334.4003581,0
10.12.0.1,2631,10.11.9.28,502,1,62,1,62,0,0,129.335401,0,0,0
10.12.0.1,2632,10.11.9.28,502,2,124,2,124,0,0,129.767323,2.99584,331.1258278,0
10.12.0.1,2635,10.11.9.28,502,2,124,2,124,0,0,130.39177,2.975007,333.4445936,0
10.12.0.1,2637,10.11.9.28,502,1,62,1,62,0,0,131.804559,0,0,0
10.12.0.1,2638,10.11.9.28,502,1,62,1,62,0,0,132.773514,0,0,0
10.12.0.1,2639,10.11.9.28,502,2,124,2,124,0,0,132.839106,2.942014,337.1839835,0
10.12.0.1,2641,10.11.9.28,502,1,62,1,62,0,0,133.39878,0,0,0
10.12.0.1,2643,10.11.9.28,502,1,62,1,62,0,0,135.851869,0,0,0
10.12.0.1,2648,10.11.9.28,502,2,124,2,124,0,0,159.344202,2.995085,331.2092979,0
10.12.0.1,2650,10.11.9.28,502,2,124,2,124,0,0,161.817279,2.936355,337.833811,0
10.12.0.1,2651,10.11.9.28,502,1,62,1,62,0,0,162.355271,0,0,0
10.12.0.1,2652,10.11.9.28,502,2,124,2,124,0,0,162.785207,2.974353,333.5179113,0
10.12.0.1,2654,10.11.9.28,502,2,124,2,124,0,0,163.412559,2.950599,336.2029202,0
10.12.0.1,2656,10.11.9.28,502,1,62,1,62,0,0,164.824523,0,0,0
10.12.0.1,2657,10.11.9.28,502,1,62,1,62,0,0,165.793234,0,0,0
10.12.0.1,2658,10.11.9.28,502,1,62,1,62,0,0,165.857861,0,0,0
10.12.0.1,2660,10.11.9.28,502,1,62,1,62,0,0,166.418661,0,0,0
10.12.0.1,2662,10.11.9.28,502,1,62,1,62,0,0,168.871843,0,0,0
10.12.0.1,2668,10.11.9.28,502,2,124,2,124,0,0,192.36417,2.971552,333.832287,0
10.12.0.1,2669,10.11.9.28,502,2,124,2,124,0,0,194.832209,2.918229,339.9321986,0
10.12.0.1,2670,10.11.9.28,502,1,62,1,62,0,0,195.375015,0,0,0
10.12.0.1,2671,10.11.9.28,502,1,62,1,62,0,0,195.805901,0,0,0
10.12.0.1,2673,10.11.9.28,502,1,62,1,62,0,0,196.43057,0,0,0
10.12.0.1,2675,10.11.9.28,502,1,62,1,62,0,0,197.844162,0,0,0
10.12.0.1,2676,10.11.9.28,502,1,62,1,62,0,0,198.813025,0,0,0
10.12.0.1,2677,10.11.9.28,502,2,124,2,124,0,0,198.877717,2.996811,331.0185394,0
10.12.0.1,2679,10.11.9.28,502,1,62,1,62,0,0,199.438432,0,0,0
10.12.0.1,2681,95.101.113.27,80,3,186,3,186,0,0,199.623381,8.890697,167.3659557,0
10.12.0.1,2683,10.11.9.28,502,1,62,1,62,0,0,201.891582,0,0,0
10.12.0.1,2687,95.101.113.32,80,3,186,3,186,0,0,220.586317,9.053609,164.3543475,0
10.12.0.1,2688,10.11.9.28,502,1,62,1,62,0,0,225.383056,0,0,0
10.12.0.1,2689,10.11.9.28,502,2,124,2,124,0,0,227.856838,2.990108,331.7605919,0
10.12.0.1,2690,10.11.9.28,502,1,62,1,62,0,0,228.394897,0,0,0
10.12.0.1,2691,10.11.9.28,502,2,124,2,124,0,0,228.824881,2.927469,338.8592672,0
10.12.0.1,2693,10.11.9.28,502,2,124,2,124,0,0,229.442528,3.014069,329.1231886,0
10.12.0.1,2696,10.11.9.28,502,1,62,1,62,0,0,230.864055,0,0,0
10.12.0.1,2697,10.11.9.28,502,1,62,1,62,0,0,231.832897,0,0,0
